,akcja,akcji,autor,autorka,autorki,bohaterowie,bohaterów,choć,chyba,ciekawa,czas,czyta,części,część,dobra,dzięki,fabuła,historia,historii,historię,końca,końcu,książce,książek,książka,książki,książkę,którą,ludzi,mamy,miałam,miłości,miłość,mogę,najbardziej,napisana,naprawdę,niestety,opowieść,pewno,początku,polecam,postaci,powieści,powieść,prostu,przeczytać,raz,razem,serii,siebie,strony,swoją,szybko,tom,trochę,tą,tę,warto,wiem,wrażenie,zakończenie,zdecydowanie,świat,świata,życia,życie,życiu,length,scores
5435,0.0,0.0,0.0,0.2626204138862457,0.0,0.2913518640863791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31045363756231714,0.0,0.31070552606405794,0.16614207790481036,0.20634309636943893,0.23559730684190877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28546673847820336,0.0,0.0,0.2540805748220297,0.24693730771242514,0.0,0.0,0.0,0.2845575371009074,0.0,0.0,0.0,0.0,0.0,0.0,0.2529848722869543,0.0,0.2851017926997924,0.0,0.0,0.0,0.0,0.0,0.0,0.3070095586346167,0.0,0.0,0.0,2918,3.0
5129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,4.0
4467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29185585761403005,0.0,0.2771861430005835,0.0,0.29962140900485174,0.0,0.0,0.0,0.2755439240463306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558245246891991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2837806011230071,0.0,0.0,0.3073291551294528,0.0,0.0,0.0,0.0,0.30602853420668885,0.0,0.0,0.0,0.28394432136663444,0.5075272305089749,0.0,1823,5.0
3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4464928543864711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42463464127917855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364071649725954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49371046878080904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939953029023462,0.0,0.0,122,3.0
2198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3710458890903602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3348732810994178,0.0,0.0,0.5007124560451244,0.0,0.0,0.0,0.0,0.3748602450850147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380090609765093,0.0,0.0,0.0,0.0,0.0,0.0,0.29719557731914736,0.35518668894154076,2049,1.0
965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40980154777993,0.0,0.0,0.0,0.0,0.22570177711125908,0.0,0.0,0.39989250267554605,0.0,0.0,0.0,0.40531598260933877,0.0,0.0,0.0,0.0,0.0,0.0,0.4001711726449282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37233431322751226,0.0,0.3976889884931284,446,3.0
5020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,3.0
4952,0.0,0.0,0.0,0.0,0.8800907713212179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333772000862336,0.0,0.0,0.41349161625737185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464,2.0
2217,0.0,0.0,0.0,0.0,0.0,0.0,0.2889201876600665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35228343011024355,0.5145266873763519,0.0,0.0,0.0,0.0,0.0,0.0,0.37948356273290496,0.0,0.26906280003873834,0.0,0.0,0.0,0.35284524092132413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28201359488254474,0.0,0.0,0.32749015484622274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219,2.0
3491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816714455938952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652616070691295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849253328026862,0.0,0.0,0.0,0.0,0.0,0.0,113,1.0
1457,0.12633667301947135,0.1408575478572344,0.13398740098328513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11392409199912759,0.0,0.0,0.0,0.0,0.14185839518292168,0.10359546307237992,0.12231551093862778,0.0,0.0,0.0,0.0,0.0,0.07640570717552769,0.0,0.10834689841919114,0.0,0.8099923963070235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09289405577306928,0.0,0.0,0.0,0.0,0.0,0.2637491510182773,0.0,0.0,0.0,0.0,0.14347263591725531,0.25194363723291674,0.0,0.0,0.0,0.13111310730517617,0.0,0.0,0.0,0.1358478023162527,0.0,0.0,0.0,0.1260444949613264,0.0,0.0,2547,2.0
